Nome;Latitudine;Longitudine;Indirizzo;Categoria;Macro_Categoria;p1_capire_diagnosi_orientarsi;p2_gestire_quotidianità;p3_uscire_casa_restare_attivo;p4_non_isolarsi;p5_comportamento_memoria;p6_questioni_pratiche_burocratiche;p7_caregiver;Fonte;Telefono;Web;Nome_icona
IRCCS Ospedale San Raffaele;45.50650;9.26388;Via Olgettina, 60, 20132 Milano MI;Ospedale;sanitario;;;;;;;;;;;icon-ospedale.png
Casa di Cura Igea Spa (Poliambulatorio Dezza);45.46101;9.16335;Via Giuseppe Dezza, 48, 20144 Milano MI;Ospedale;sanitario;;;;;;;;;;;icon-ospedale.png
Presidio Ospedaliero S. Carlo Borromeo;45.47466;9.10398;Via Pio II, 3, 20153 Milano MI;Ospedale;sanitario;;;;;;;;;;;icon-ospedale.png
Presidio Ospedaliero Fatebenefratelli e Oftalmico;45.47936;9.19280;Piazzale Principessa Clotilde, 3, 20121 Milano MI;Ospedale;sanitario;;;;;;;;;;;icon-ospedale.png
ASST Niguarda — CDCD;45,5106614;9,1880256;Piazza Ospedale Maggiore 3, Milano;Ospedale / CDCD;sanitario;Visita neurologica/neuropsicologica, valutazione cognitiva multidimensionale, restituzione diagnostica, piano terapeutico (PDTAR);;;;"Monitoraggio e gestione farmacologica dei disturbi comportamentali; follow-up cognitivo periodico";;"Gruppi psicoeducativi per caregiver; sportello di supporto psicologico per familiari (c/o Centro Neuropsicologia Cognitiva); counseling individuale";https://www.ospedaleniguarda.it/news/leggi/centro-per-i-disturbi-cognitivi-e-le-demenze-cdcd | https://www.ospedaleniguarda.it/strutture/info/centro-neuropsicologia-cognitiva;Tel. 0264445848 — CUP 800638638;gabriella.bottini@ospedaleniguarda.it;icon-ospedale.png
ASST Pini-CTO — CDCD;45,5257391;9,2139846;Via Bignami 1, Milano;Ospedale / CDCD;sanitario;"Prima visita neurologica per disturbo cognitivo; valutazione neuropsicologica; diagnosi differenziale demenze";;;;"Visita neurologica di controllo; gestione terapia farmacologica per disturbi cognitivi e comportamentali";;;https://www.asst-pini-cto.it/it/aree-specialistiche/dipartimento-reumatologia-scienze-mediche/uoc-centro-parkinson-parkinsonismi/ambulatorio-centro-disturbi-cognitivi-demenze;Tel. 800638638;centro.parkinson@asst-pini-cto.it;icon-ospedale.png
Casa di cura privata del Policlinico — CDCD;45,4589035;9,162342;Via Giuseppe Dezza 48, Milano;Casa di cura / CDCD;sanitario;"Visita neurologica primo accesso CDCD; valutazione neuropsicologica e diagnostica strumentale";;;;"Visita neurologica di controllo; monitoraggio disturbi cognitivi";;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/disabilita-non-autosufficienza/demenza/demenza;Tel. 02485931 — CUP 0248593400;direzione.generale@ccppdezza.it;icon-ospedale.png
Ospedale S. Carlo Borromeo — CDCD;45,468576;9,1144907;Via Pio II 3, Milano;Ospedale / CDCD;sanitario;"Prima visita CDCD per disturbo cognitivo; valutazione neurologica e neuropsicologica";;;;"Visita di controllo; monitoraggio terapia";;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/disabilita-non-autosufficienza/demenza/demenza;Tel. 0240222075 — CUP 0240222747;seg.neurologia.hsc@asst-santipaolocarlo.it;icon-ospedale.png
Fondazione Don Gnocchi — Istituto Palazzolo — CDCD;45,4893982;9,1445827;Via Don Luigi Palazzolo 21, Milano;Fondazione / CDCD;sanitario;"Visita geriatrica CDCD prima visita; valutazione multidimensionale";;;;"Visita geriatrica CDCD di controllo; monitoraggio disturbi cognitivi";;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/disabilita-non-autosufficienza/demenza/demenza;Tel. 0239701 — CUP 0239703465;dir-san.palazzolo@dongnocchi.it;icon-ospedale.png
Fondazione IRCCS Ca' Granda Policlinico — Centro Alzheimer;45,4589944;9,1949011;Via Francesco Sforza 35, Milano;IRCCS / CDCD;sanitario;"Visita neurologica prima visita; diagnostica avanzata (liquor, genetica, neuroimaging) per diagnosi differenziale demenze";;;;"Visita neurologica di controllo; prescrizione e monitoraggio terapia farmacologica anticolinesterasici";;;https://www.policlinico.mi.it/centri-di-riferimento/4/centro-per-disturbi-cognitivi-e-demenze-cdcd;Tel. 0255033814;centro.alzheimer@policlinico.mi.it;icon-ospedale.png
Fondazione IRCCS Istituto Neurologico Carlo Besta — CDCD;45,4771328;9,230656;Via Celoria 11, Milano;IRCCS / CDCD;sanitario;"Visita neurologica per decadimento cognitivo; valutazione neuropsicologica clinica; diagnostica avanzata per demenze degenerative";;;;"Visita neurologica di controllo; monitoraggio disturbi cognitivi e comportamentali";;;https://www.istituto-besta.it/reparti/neuropsicologia-clinica-46;Tel. 0223942260 — CUP 02266021;neuropatologia@istituto-besta.it;icon-ospedale.png
IRCCS Ospedale S. Raffaele — CDCD;45,5062201;9,2676569;Via Olgettina 48, Milano;IRCCS / CDCD;sanitario;"Visita neurologica prima visita; valutazione multidisciplinare; diagnostica avanzata (PET, biomarcatori, genetica)";;;;"Visita neurologica di controllo; stimolazione e tele-riabilitazione cognitiva; terapia non farmacologica";;"Programmi di supporto psico-educativo dedicati ai caregiver; indicazioni per gestione quotidiana della demenza";https://www.hsr.it/strutture/ospedale-san-raffaele/centro-alzheimer-patologie-correlate | https://sanraffaele.it/centri/centro-disturbi-cognitivi-demenze/;Tel. 0226432811 — CUP 0226432643;cdcd@hsr.it;icon-ospedale.png
IRCCS S. Maria Nascente — Fondazione Don Gnocchi — CDCD;45,47328;9,12702;Via Alfonso Capecelatro 66, Milano;IRCCS / CDCD;sanitario;"Visita neurologica prima visita CDCD; iter diagnostico multidimensionale (cognitivo, comportamentale, funzionale)";;;;"Visita neurologica di controllo; piano di trattamento personalizzato per fasi della malattia";;;https://www.dongnocchi.it/@strutture/centro-irccs-s-maria-nascente/servizi/centro-per-i-disturbi-cognitivi-e-demenze-cdcd;Tel. 0240308327 — CUP 0240308244;dirsanitaria.mi.smnascente@dongnocchi.it;icon-ospedale.png
Istituto Auxologico Italiano IRCCS — P.le Brescia;45,4720524;9,145224;Piazzale Brescia 20, Milano;IRCCS / CDCD;sanitario;"Visita neurologica e multidisciplinare c/o Centro Disturbi Cognitivi; ambulatorio per prevenzione declino cognitivo (Brain Health)";;;;"Visita di controllo; riabilitazione cognitiva; terapia non farmacologica";;Colloqui psicologici di supporto a pazienti e caregiver;https://www.auxologico.it/centro-disturbi-cognitivi-demenze-cdcd;Tel. 02619112665 — CUP 02619112501;centrodisturbicognitivi@auxologico.it;icon-ospedale.png
Istituto Geriatrico Piero Redaelli — CDCD;45,4587323;9,1398213;Via Bartolomeo d'Alviano 78, Milano;Istituto geriatrico / CDCD;sanitario;"Visita geriatrica CDCD prima visita; screening cognitivo rapido (Percorso Me.Mo.Ri.); valutazione neuropsicologica";;;;"Visita geriatrica di controllo; monitoraggio disturbi cognitivi e comportamentali";;Counseling ai familiari al momento della restituzione diagnostica e nel follow-up;https://www.golgiredaelli.it/servizi_sanitari/cdcd-centro-disturbi-cognitivi-e-demenze-ex-uva-milano/ | https://www.golgiredaelli.it/servizi_sanitari/percorso-memory/;Tel. 0241315296 — CUP 0241315374;cdcd@golgiredaelli.it;icon-ospedale.png
Ospedale Luigi Sacco — CDCD;45,5175532;9,1201819;Via G.B. Grassi 74, Milano;Ospedale / CDCD;sanitario;"Visita neurologica c/o Centro Disturbi Cognitivi; valutazione neuropsicologica";;;;"Visita neurologica di controllo; monitoraggio disturbi cognitivi";;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/disabilita-non-autosufficienza/demenza/demenza;Tel. 0239042373 — CUP 800638638;neuropsicologia@asst-fbf-sacco.it;icon-ospedale.png
Ospedale S. Paolo — CDCD;45,4334672;9,1579891;Via di Rudinì 8, Milano;Ospedale / CDCD;sanitario;"Prima visita neurologica ambulatorio UVA/CDCD; valutazione neuropsicologica";;;;"Visita neurologica di controllo UVA/CDCD; monitoraggio terapia";;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/disabilita-non-autosufficienza/demenza/demenza;Tel. 0281844569;neurologia.uva.hsp@asst-santipaolocarlo.it;icon-ospedale.png
Ospedale S. Raffaele Turro — CDCD;45,4991936;9,2291326;Via Stamira d'Ancona 20, Milano;Ospedale / CDCD;sanitario;"Visita neurologica UVA prima visita; valutazione multidisciplinare per disturbi cognitivi";;;;"Visita neurologica UVA di controllo; terapie non farmacologiche";;"Programmi di supporto continuo per caregiver (CARD); indicazioni pratiche per gestione quotidiana";https://www.hsr.it/strutture/ospedale-san-raffaele/centro-alzheimer-patologie-correlate;Tel. 0226435737 — CUP 0226432643;marcone.alessandra@hsr.it;icon-ospedale.png
Auxologico Capitanio — Pier Lombardo — CDCD;45,45378;9,20768;Via Pier Lombardo 22, Milano;IRCCS / CDCD;sanitario;"Visita neurologica e multidisciplinare c/o Centro Disturbi Cognitivi; ambulatorio Brain Health";;;;"Visita di controllo; riabilitazione cognitiva";;Colloqui psicologici di supporto a pazienti e caregiver;https://www.auxologico.it/centro-disturbi-cognitivi-demenze-cdcd;Tel. 02619112665 — CUP 02619112501;centrodisturbicognitivi@auxologico.it;icon-ospedale.png
